sol,month,min_temp,max_temp
1069,1,-77,-22
1068,1,-76,-23
1067,1,-79,-24
1066,1,-78,-14
1065,1,-78,-19
1064,1,-77,-22
1063,1,-79,-19
1062,1,-77,-24
1061,1,-77,-23
1060,1,-78,-16
1059,1,-78,-20
1058,1,-78,-22
1057,1,-78,-22
1056,1,-76,-21
1055,1,-77,-20
1054,1,-77,-11
1053,1,-79,-11
1052,1,-78,-12
1051,1,-76,-20
1050,1,-76,-22
1049,1,-75,-21
1048,1,-78,-15
1047,1,-77,-14
1046,1,-77,-12
1045,1,-80,-13
1044,1,-79,-20
1043,1,-77,-20
1042,1,-76,-20
1041,1,-77,-22
1040,1,-77,-21
1039,1,-77,-21
1038,1,-76,-21
1037,1,-80,-21
1036,1,-76,-17
1035,1,-77,-12
1034,1,-76,-14
1033,1,-77,-14
1032,1,-74,-16
1031,1,-76,-15
1030,1,-77,-15
1029,1,-75,-14
1028,1,-75,-15
1026,1,-78,-16
1025,1,-74,-14
1024,1,-76,-15
1023,1,-76,-15
1022,1,-75,-12
1021,1,-76,-14
1020,1,-63,-12
1019,1,-81,-14
1018,12,-79,-15
1017,12,-78,-12
1016,12,-76,-11
1015,12,-75,-13
1014,12,-77,-14
1013,12,-80,-12
1012,12,-81,-16
1011,12,-78,-12
1010,12,-74,-11
1009,12,-75,-12
1008,12,-79,-12
1007,12,-79,-12
1006,12,-78,-13
1005,12,-75,-12
1004,12,-74,-9
1003,12,-74,-10
1002,12,-77,-12
1001,12,-79,-12
1000,12,-74,-12
998,12,-73,-8
997,12,-74,-13
996,12,-72,-4
995,12,-74,-4
994,12,-79,-5
993,12,-73,-8
992,12,-73,-6
991,12,-73,-3
990,12,-76,-1
989,12,-74,-10
988,12,-75,-10
987,12,-74,-7
986,12,-74,-1
985,12,-78,-5
984,12,-74,-6
983,12,-76,-6
982,12,-74,-4
981,12,-73,-3
980,12,-73,1
979,12,-79,-4
978,12,-73,-2
977,12,-75,-4
976,12,-75,-6
975,12,-73,-3
974,12,-73,-3
973,12,-72,-4
972,12,-73,-3
971,12,-71,-3
970,12,-71,-4
969,12,-72,-2
968,12,-71,-3
967,12,-74,-2
966,12,-73,-12
965,12,-75,-10
964,12,-72,-13
963,11,-71,-5
962,11,-73,-2
961,11,-71,-3
960,11,-76,-8
959,11,-78,-4
958,11,-74,-9
954,11,-73,-3
953,11,-71,-5
952,11,-69,-6
951,11,-75,-4
950,11,-73,0
949,11,-72,-4
948,11,-73,-8
947,11,-70,-3
946,11,-77,-2
945,11,-72,-1
944,11,-70,0
943,11,-73,-1
942,11,-74,-1
941,11,-74,0
940,11,-73,-2
937,11,-73,0
936,11,-72,-3
935,11,-75,-2
934,11,-73,1
933,11,-71,-4
932,11,-71,1
931,11,-69,-1
930,11,-75,-1
929,11,-75,0
928,11,-72,0
927,11,-76,-2
926,11,-76,1
925,11,-71,-2
924,11,-74,-1
923,11,-72,-5
922,11,-73,-2
921,11,-70,2
920,11,-72,-2
919,11,-74,-3
918,11,-71,0
917,11,-76,-1
916,11,-71,-5
915,11,-71,-4
914,11,-71,0
913,11,-71,-4
912,10,-75,-4
911,10,-70,0
910,10,-73,0
909,10,-70,-2
908,10,-71,-3
907,10,-75,-1
906,10,-76,-3
905,10,-71,-2
904,10,-71,0
903,10,-71,-2
902,10,-68,0
901,10,-71,-2
900,10,-70,1
899,10,-75,-1
898,10,-72,2
897,10,-72,5
896,10,-70,1
895,10,-72,-4
894,10,-75,-4
893,10,-72,2
892,10,-71,-3
891,10,-72,-3
890,10,-72,-4
889,10,-70,2
888,10,-70,-5
887,10,-73,-4
886,10,-73,-6
885,10,-71,-4
884,10,-71,-5
883,10,-74,-4
882,10,-76,-6
881,10,-73,-4
872,10,-72,1
871,10,-70,-7
870,10,-74,-6
869,10,-72,-4
868,10,-71,-4
867,10,-71,-2
866,10,-71,-4
865,10,-70,-5
864,9,-70,-1
863,9,-72,-13
862,9,-70,-2
861,9,-70,-7
860,9,-69,-8
859,9,-72,-8
858,9,-73,-6
857,9,-76,0
856,9,-68,-3
855,9,-69,0
854,9,-66,3
853,9,-67,0
852,9,-73,-3
851,9,-68,-6
850,9,-68,-1
849,9,-69,-1
848,9,-69,-4
847,9,-69,-8
846,9,-74,-7
845,9,-73,0
844,9,-68,5
843,9,-69,1
842,9,-69,-6
841,9,-75,-7
840,9,-74,-4
839,9,-70,-1
838,9,-69,-1
837,9,-69,4
836,9,-69,-1
835,9,-69,-1
834,9,-68,-3
833,9,-69,-1
832,9,-68,-2
831,9,-68,-6
830,9,-68,-1
829,9,-71,-2
828,9,-71,-1
827,9,-68,0
826,9,-68,0
825,9,-67,1
824,9,-67,2
823,9,-69,0
822,9,-71,1
821,9,-68,2
820,9,-68,-1
819,9,-71,0
818,8,-68,0
817,8,-69,0
816,8,-74,-7
815,8,-69,-8
814,8,-68,-3
813,8,-67,2
812,8,-75,3
811,8,-71,-6
810,8,-69,3
809,8,-70,-2
808,8,-67,7
807,8,-71,1
806,8,-69,2
805,8,-70,1
804,8,-73,0
803,8,-69,0
802,8,-69,7
801,8,-70,3
800,8,-67,-2
799,8,-70,-4
798,8,-67,0
797,8,-65,-1
796,8,-65,1
795,8,-68,1
794,8,-68,-5
793,8,-71,0
792,8,-71,0
791,8,-70,0
790,8,-68,2
789,8,-68,-4
788,8,-68,-5
787,8,-73,-7
786,8,-74,-4
785,8,-74,-1
784,8,-69,-4
783,8,-69,6
782,8,-71,9
781,8,-74,-5
780,8,-72,0
779,8,-71,6
778,8,-70,6
777,8,-72,8
776,8,-72,5
775,8,-71,3
774,8,-73,1
773,8,-70,8
772,8,-71,8
771,7,-71,9
770,7,-70,2
769,7,-73,4
768,7,-73,2
767,7,-71,9
766,7,-70,8
765,7,-73,5
764,7,-73,4
763,7,-78,6
762,7,-75,7
761,7,-72,7
760,7,-70,11
759,7,-77,8
758,7,-71,3
757,7,-73,5
756,7,-73,3
755,7,-74,2
754,7,-73,6
753,7,-73,8
752,7,-71,-3
751,7,-72,-6
750,7,-72,4
749,7,-73,3
748,7,-71,5
747,7,-73,6
746,7,-76,2
745,7,-74,1
744,7,-75,-2
743,7,-72,0
742,7,-72,0
741,7,-70,-1
740,7,-76,-2
739,7,-77,-1
738,7,-75,0
737,7,-74,3
736,7,-76,0
735,7,-73,1
734,7,-73,-3
733,7,-74,-2
732,7,-75,-8
731,7,-75,-4
730,7,-76,3
729,7,-75,3
728,7,-74,1
727,7,-76,1
726,7,-75,1
725,7,-73,-5
724,7,-74,1
723,7,-73,2
722,6,-74,1
721,6,-73,-5
720,6,-74,-1
719,6,-77,-1
718,6,-77,3
717,6,-76,5
716,6,-75,2
715,6,-73,2
714,6,-76,2
713,6,-76,-12
712,6,-77,-10
711,6,-75,-11
710,6,-77,-12
709,6,-73,-11
708,6,-76,1
707,6,-76,1
706,6,-76,0
705,6,-76,-9
704,6,-75,-5
703,6,-75,-6
702,6,-76,-2
701,6,-77,-1
700,6,-75,-2
699,6,-76,-2
698,6,-77,-3
697,6,-74,-4
696,6,-75,-2
695,6,-76,-1
694,6,-75,-1
693,6,-76,-2
692,6,-76,-4
691,6,-76,-8
690,6,-77,-7
689,6,-76,-6
688,6,-77,-5
687,6,-77,-2
686,6,-76,-4
685,6,-77,-2
684,6,-75,-9
683,6,-79,-7
682,6,-77,-16
681,6,-79,-17
680,6,-76,-15
679,6,-77,-13
678,6,-77,-17
677,6,-78,-12
676,6,-80,-17
675,6,-80,-12
674,6,-80,-17
673,6,-78,-16
672,6,-78,-16
671,6,-79,-15
670,6,-79,-7
669,6,-84,-4
668,6,-75,-4
667,5,-76,-7
666,5,-77,-7
665,5,-78,-4
664,5,-78,-8
663,5,-77,-10
662,5,-77,-11
661,5,-76,-10
660,5,-78,-12
659,5,-77,-14
658,5,-79,-10
657,5,-79,-6
656,5,-80,-13
655,5,-77,-14
654,5,-79,-8
653,5,-80,-13
652,5,-79,-12
651,5,-80,-8
650,5,-80,-11
649,5,-79,-14
648,5,-80,-20
647,5,-79,-19
646,5,-81,-16
645,5,-81,-8
644,5,-80,-10
643,5,-80,-14
642,5,-80,-19
641,5,-81,-19
640,5,-81,-11
639,5,-80,-16
638,5,-80,-12
637,5,-80,-18
636,5,-81,-19
635,5,-82,-10
634,5,-82,-20
633,5,-81,-15
632,5,-79,-18
631,5,-81,-18
630,5,-82,-20
629,5,-84,-24
628,5,-81,-23
627,5,-82,-19
626,5,-82,-21
625,5,-81,-24
624,5,-82,-19
623,5,-83,-21
622,5,-84,-19
621,5,-82,-21
620,5,-83,-19
619,5,-82,-22
618,5,-83,-23
617,5,-84,-19
616,5,-82,-19
615,5,-83,-23
614,5,-82,-19
613,5,-84,-21
612,5,-85,-27
611,5,-84,-23
610,5,-85,-20
609,5,-84,-20
608,4,-85,-21
607,4,-83,-28
606,4,-84,-27
605,4,-83,-22
604,4,-84,-17
603,4,-83,-15
602,4,-82,-22
601,4,-82,-25
600,4,-81,-25
599,4,-84,-20
598,4,-84,-25
597,4,-84,-26
596,4,-82,-24
595,4,-83,-25
594,4,-83,-22
593,4,-83,-23
592,4,-83,-26
591,4,-82,-26
590,4,-82,-26
589,4,-85,-27
588,4,-84,-24
587,4,-85,-28
586,4,-82,-24
585,4,-83,-26
584,4,-82,-25
583,4,-82,-27
582,4,-84,-27
581,4,-84,-28
580,4,-83,-24
579,4,-82,-22
578,4,-83,-23
577,4,-84,-27
576,4,-84,-26
575,4,-82,-26
574,4,-85,-23
573,4,-84,-27
572,4,-85,-27
571,4,-84,-26
570,4,-84,-26
569,4,-85,-27
568,4,-86,-28
567,4,-86,-28
566,4,-86,-27
565,4,-85,-27
564,4,-86,-27
563,4,-87,-31
562,4,-85,-23
561,4,-85,-23
560,4,-86,-23
559,4,-85,-27
558,4,-85,-26
557,4,-85,-29
556,4,-85,-29
555,4,-85,-31
554,4,-84,-22
553,4,-84,-26
552,4,-86,-29
551,4,-85,-28
550,4,-85,-27
549,4,-87,-23
548,4,-86,-28
547,4,-85,-29
546,4,-85,-34
545,4,-85,-29
544,4,-86,-27
543,3,-84,-26
542,3,-85,-28
541,3,-84,-27
540,3,-84,-29
539,3,-85,-23
538,3,-85,-25
537,3,-83,-28
536,3,-83,-29
535,3,-88,-29
534,3,-86,-29
533,3,-87,-30
532,3,-88,-23
531,3,-87,-22
530,3,-87,-28
529,3,-87,-23
528,3,-86,-26
527,3,-86,-23
526,3,-87,-24
525,3,-87,-29
524,3,-85,-27
523,3,-85,-25
522,3,-85,-26
521,3,-87,-26
520,3,-86,-24
519,3,-86,-25
518,3,-85,-29
517,3,-86,-27
516,3,-86,-25
515,3,-86,-23
514,3,-86,-29
513,3,-86,-29
512,3,-86,-24
511,3,-85,-31
510,3,-85,-31
509,3,-86,-30
508,3,-83,-29
507,3,-85,-25
506,3,-86,-27
505,3,-85,-29
504,3,-85,-29
503,3,-86,-28
502,3,-87,-30
501,3,-86,-28
500,3,-85,-23
499,3,-84,-30
498,3,-86,-28
497,3,-86,-30
496,3,-85,-26
495,3,-86,-26
494,3,-85,-24
493,3,-84,-32
492,3,-86,-30
491,3,-86,-30
490,3,-87,-31
489,3,-85,-29
488,3,-87,-23
487,3,-85,-30
486,3,-84,-31
477,3,-85,-26
476,2,-85,-25
475,2,-85,-28
474,2,-84,-26
473,2,-86,-29
472,2,-84,-31
471,2,-84,-26
470,2,-85,-26
469,2,-85,-29
468,2,-85,-29
467,2,-84,-28
466,2,-85,-26
465,2,-85,-23
464,2,-84,-26
463,2,-86,-26
456,2,-83,-26
455,2,-84,-28
443,2,-81,-24
442,2,-80,-22
441,2,-81,-23
440,2,-80,-25
439,2,-80,-21
438,2,-79,-26
437,2,-82,-27
436,2,-81,-24
435,2,-81,-24
434,2,-80,-25
433,2,-81,-26
432,2,-80,-26
431,2,-83,-24
430,2,-82,-24
429,2,-82,-21
428,2,-81,-23
427,2,-81,-21
426,2,-79,-22
425,2,-81,-21
424,2,-81,-22
423,2,-81,-24
422,2,-82,-20
421,2,-81,-24
420,2,-80,-19
419,2,-82,-24
418,2,-79,-21
417,2,-82,-21
416,2,-79,-18
415,2,-82,-19
414,2,-79,-18
413,2,-82,-22
412,2,-80,-22
411,1,-82,-17
410,1,-81,-14
409,1,-81,-17
408,1,-80,-16
407,1,-81,-17
406,1,-81,-15
405,1,-82,-25
404,1,-78,-20
403,1,-80,-18
402,1,-78,-18
401,1,-79,-15
400,1,-79,-16
399,1,-79,-16
398,1,-79,-14
397,1,-75,-15
396,1,-78,-15
395,1,-77,-20
394,1,-79,-18
393,1,-76,-18
392,1,-77,-17
391,1,-78,-17
390,1,-78,-16
389,1,-79,-14
388,1,-79,-13
387,1,-78,-13
386,1,-77,-12
385,1,-78,-12
384,1,-77,-12
383,1,-77,-12
382,1,-76,-14
381,1,-79,-13
380,1,-79,-13
379,1,-79,-12
378,1,-78,-18
377,1,-78,-12
376,1,-78,-11
375,1,-77,-9
374,1,-79,-9
373,1,-79,-8
372,1,-76,-9
371,1,-77,-11
370,1,-79,-9
369,1,-75,-9
368,1,-77,-9
367,1,-76,-9
366,1,-76,-12
357,1,-76,-7
356,1,-77,-7
355,1,-75,-7
354,1,-75,-13
353,1,-75,-8
352,1,-77,-9
351,1,-75,-12
350,12,-76,-6
349,12,-75,-12
348,12,-74,-8
347,12,-77,-9
346,12,-76,-7
345,12,-77,-7
344,12,-77,-6
343,12,-77,-11
342,12,-76,-7
341,12,-77,-6
340,12,-76,-6
339,12,-76,-8
338,12,-78,-7
337,12,-75,-7
336,12,-76,-8
335,12,-76,-7
334,12,-74,-6
333,12,-75,-5
332,12,-76,-5
331,12,-74,-3
330,12,-75,-5
329,12,-74,-7
328,12,-75,-5
327,12,-74,-8
326,12,-72,-5
325,12,-74,-8
324,12,-75,-8
323,12,-74,-6
322,12,-74,-5
321,12,-75,-5
320,12,-74,-4
319,12,-73,-3
318,12,-74,-4
317,12,-72,-4
316,12,-74,-16
315,12,-74,-10
314,12,-73,-11
313,12,-77,-14
312,12,-71,-11
311,12,-74,-8
310,12,-71,-9
309,12,-72,-7
308,12,-73,-5
307,12,-72,-8
306,12,-71,-8
305,12,-71,-5
304,12,-70,-6
303,12,-71,-8
302,12,-71,-3
301,12,-73,-6
300,12,-72,-8
299,12,-71,-8
298,12,-72,-3
297,12,-72,-7
296,12,-71,-9
295,12,-71,-15
294,11,-72,-4
293,11,-72,-4
292,11,-71,-1
291,11,-70,-4
290,11,-71,-3
289,11,-71,-3
288,11,-69,-4
287,11,-72,-3
286,11,-71,-2
285,11,-70,-5
284,11,-71,-3
283,11,-68,-4
282,11,-72,-2
281,11,-68,-2
280,11,-69,-4
279,11,-68,-5
278,11,-67,-3
277,11,-69,-4
276,11,-69,-4
275,11,-67,-6
274,11,-70,-2
273,11,-70,-4
272,11,-71,-5
271,11,-69,-6
270,11,-67,-6
269,11,-72,-3
268,11,-70,-5
261,11,-70,-4
260,11,-70,-11
259,11,-72,-3
258,11,-71,-9
257,11,-70,-1
256,11,-70,-2
255,11,-69,-5
254,11,-70,-3
253,11,-71,-6
252,11,-71,-8
251,11,-71,-2
250,11,-70,-2
249,11,-69,-3
248,11,-70,-4
247,11,-71,-4
246,11,-73,-1
245,11,-70,-6
244,11,-69,-6
243,10,-71,-7
242,10,-70,-7
241,10,-72,0
240,10,-70,-6
239,10,-73,-1
238,10,-70,-2
237,10,-71,-5
236,10,-72,-3
235,10,-70,0
234,10,-69,-4
233,10,-69,-3
232,10,-69,-5
231,10,-71,-6
230,10,-69,0
229,10,-69,-4
228,10,-71,-3
227,10,-70,4
226,10,-70,1
225,10,-71,-8
224,10,-69,-1
223,10,-71,-5
199,10,-66,0
198,10,-67,-2
197,10,-68,-3
196,9,-66,-3
191,9,-67,-3
190,9,-66,-3
189,9,-68,-2
188,9,-68,-3
187,9,-67,-1
186,9,-66,-2
185,9,-67,-5
184,9,-67,0
183,9,-67,-1
182,9,-67,0
181,9,-67,1
180,9,-67,-1
179,9,-66,-7
178,9,-66,-2
177,9,-66,-1
176,9,-67,0
175,9,-68,-4
174,9,-67,0
173,9,-67,0
172,9,-67,0
171,9,-67,1
170,9,-66,0
169,9,-66,0
168,9,-66,1
167,9,-65,-3
166,9,-65,-5
165,9,-65,-3
164,9,-64,-1
163,9,-65,-1
162,9,-65,-1
161,9,-65,-2
160,9,-67,-3
159,9,-65,-4
158,9,-66,-3
157,9,-64,-2
156,9,-65,0
155,9,-64,0
154,9,-65,-2
153,9,-65,1
152,9,-63,1
151,9,-65,-3
150,8,-64,-3
149,8,-65,0
148,8,-65,-3
147,8,-65,0
146,8,-65,-1
145,8,-64,-1
144,8,-64,2
143,8,-63,-2
142,8,-65,0
141,8,-64,-2
140,8,-66,-2
139,8,-66,0
138,8,-65,-1
137,8,-64,-1
136,8,-65,-1
135,8,-65,-5
134,8,-67,-1
133,8,-65,1
132,8,-65,-6
131,8,-65,-8
130,8,-65,-9
129,8,-65,-2
128,8,-67,-3
127,8,-67,-1
126,8,-66,-4
125,8,-68,-5
124,8,-66,-5
123,8,-66,-10
122,8,-65,-3
121,8,-66,0
120,8,-67,-3
119,8,-66,-6
118,8,-65,-6
117,8,-66,-5
116,8,-67,-6
115,8,-66,-8
114,8,-69,-6
113,8,-66,-6
112,8,-65,-8
111,8,-66,-4
110,8,-65,-5
109,8,-64,-3
108,8,-65,-4
107,8,-66,-5
106,8,-66,-8
105,8,-66,-6
104,8,-67,-5
103,7,-66,-3
102,7,-67,-3
101,7,-65,-2
100,7,-66,-1
99,7,-68,-1
98,7,-68,-1
97,7,-68,-3
96,7,-71,2
95,7,-68,0
94,7,-70,0
93,7,-72,-1
92,7,-74,-1
91,7,-74,-1
90,7,-71,0
89,7,-73,-1
88,7,-70,-2
87,7,-70,-2
86,7,-71,-4
85,7,-71,-1
84,7,-70,0
83,7,-72,0
82,7,-72,0
81,7,-72,-2
80,7,-70,-3
79,7,-73,-1
78,7,-71,0
77,7,-71,0
76,7,-73,-1
75,7,-73,-1
74,7,-72,-5
73,7,-70,0
72,7,-73,-2
71,7,-71,-2
70,7,-72,-1
69,7,-73,0
68,7,-71,-2
67,7,-73,-6
66,7,-73,-2
65,7,-72,-2
64,7,-74,0
63,7,-73,0
62,7,-72,-1
61,7,-72,-2
60,7,-75,-2
59,7,-76,-1
58,7,-74,-3
57,7,-73,-3
56,7,-73,-4
55,7,-74,-2
54,7,-72,-9
53,6,-71,-5
52,6,-74,-7
51,6,-76,-7
50,6,-72,-10
49,6,-74,-10
48,6,-75,0
47,6,-75,-9
46,6,-74,-12
45,6,-74,-9
44,6,-75,-10
43,6,-74,-12
42,6,-75,-7
41,6,-75,-12
40,6,-75,-12
39,6,-75,-8
38,6,-73,-13
37,6,-73,0
36,6,-73,-1
35,6,-73,-1
34,6,-73,1
33,6,-73,-2
31,6,-74,-23
30,6,-74,-3
29,6,-75,-2
28,6,-75,-15
27,6,-75,-15
26,6,-76,-14
25,6,-75,-11
24,6,-75,-7
23,6,-75,-16
22,6,-74,-6
21,6,-74,-3
17,6,-76,-4
16,6,-77,0
15,6,-78,-15
14,6,-74,-16
13,6,-74,-15
12,6,-76,-18
11,6,-76,-11
10,6,-75,-16